7314	17764
5017	17753
8904	17849
16997	17765
6161	17849
470	17830
2818	17756
6607	17785
6455	17834
3319	17792
17062	17804
13649	17753
15316	17807
11354	17871
16028	17767
1792	17757
9603	17871
4112	17789
4910	17789
4721	17829
4632	17848
9580	17759
3775	17759
12879	17766
2705	17795
2000	17829
3803	17853
12251	17786
281	17807
15530	17838
16771	17868
15920	17853
13970	17771
15689	17781
14065	17757
12736	17764
12847	17848
164	17809
6923	17800
2887	17806
17396	17857
14257	17853
8976	17848
7409	17848
2872	17829
12152	17810
777	17788
12502	17809
5580	17786
279	17807
17434	17859
17312	17762
1736	17758
12409	17793
3225	17785
5399	17798
6577	17786
9023	17871
326	17758
6693	17751
4126	17789
3939	17788
15977	17778
14899	17753
5134	17783
9095	17755
2958	17781
2823	17829
9152	17785
625	17799
789	17795
15695	17832
6382	17810
1366	17757
2659	17756
1788	17790
5779	17829
2376	17806
13823	17868
3798	17846
3227	17795
1476	17796
11388	17854
4985	17797
3171	17831
12727	17805
12375	17754
7452	17785
11339	17755
7493	17849
11597	17765
12101	17769
6411	17848
8552	17754
7469	17807
15463	17832
1271	17838
2196	17781
11465	17783
10504	17802
11332	17844
3304	17793
15158	17777
5604	17800
16159	17828
4377	17786
7091	17773
17045	17807
6322	17786
1107	17849
3534	17858
1274	17781
16665	17784
2344	17795
5575	17797
4030	17795
13686	17776
10063	17820
6040	17871
5029	17802
13966	17808
17200	17832
5709	17832
1335	17762
2443	17806
2765	17829
2661	17759
7724	17756
4853	17804
1612	17806
88	17844
9024	17759
7823	17849
7500	17845
1667	17832
5280	17793
751	17752
3698	17780
1510	17848
14493	17809
14109	17872
8464	17784
16485	17777
4901	17785
12853	17783
11766	17760
15679	17760
5739	17848
6841	17764
12237	17776
2650	17751
6097	17780
14789	17831
15025	17811
7065	17757
15986	17757
1673	17832
1480	17757
3658	17802
10445	17848
976	17752
2582	17847
8198	17803
1001	17762
17009	17828
14717	17854
3004	17760
2755	17806
4875	17758
5513	17780
14505	17787
15179	17766
5037	17759
2989	17829
7881	17754
7733	17846
727	17751
857	17782
3175	17765
2327	17760
15440	17760
11466	17854
13991	17766
624	17795
3448	17795
14459	17760
33	17840
11668	17785
15320	17767
4035	17752
62	17843
4978	17784
17361	17862
